county,precinct,office,district,party,candidate,votes,election_night,absentee,provisional
Sarpy,,President and Vice President,,REP,Romney/Ryan,43213,28596,14204,413
Sarpy,Precinct 1,President and Vice President,,REP,Romney/Ryan,380,282,95,3
Sarpy,Precinct 2,President and Vice President,,REP,Romney/Ryan,575,439,131,5
Sarpy,Precinct 3,President and Vice President,,REP,Romney/Ryan,655,413,229,13
Sarpy,Precinct 4,President and Vice President,,REP,Romney/Ryan,734,541,186,7
Sarpy,Precinct 5,President and Vice President,,REP,Romney/Ryan,609,375,223,11
Sarpy,Precinct 6,President and Vice President,,REP,Romney/Ryan,734,508,214,12
Sarpy,Precinct 7,President and Vice President,,REP,Romney/Ryan,635,462,167,6
Sarpy,Precinct 8,President and Vice President,,REP,Romney/Ryan,709,476,220,13
Sarpy,Precinct 9,President and Vice President,,REP,Romney/Ryan,611,450,150,11
Sarpy,Precinct 10,President and Vice President,,REP,Romney/Ryan,434,348,76,10
Sarpy,Precinct 11,President and Vice President,,REP,Romney/Ryan,990,648,332,10
Sarpy,Precinct 12,President and Vice President,,REP,Romney/Ryan,786,574,205,7
Sarpy,Precinct 13,President and Vice President,,REP,Romney/Ryan,1034,673,354,7
Sarpy,Precinct 16,President and Vice President,,REP,Romney/Ryan,716,507,206,3
Sarpy,Precinct 17,President and Vice President,,REP,Romney/Ryan,723,513,205,5
Sarpy,Precinct 18,President and Vice President,,REP,Romney/Ryan,498,358,138,2
Sarpy,Precinct 19,President and Vice President,,REP,Romney/Ryan,1157,624,520,13
Sarpy,Precinct 20,President and Vice President,,REP,Romney/Ryan,807,553,247,7
Sarpy,Precinct 21,President and Vice President,,REP,Romney/Ryan,1362,780,571,11
Sarpy,Precinct 22,President and Vice President,,REP,Romney/Ryan,795,545,239,11
Sarpy,Precinct 23,President and Vice President,,REP,Romney/Ryan,943,500,417,26
Sarpy,Precinct 24,President and Vice President,,REP,Romney/Ryan,561,407,147,7
Sarpy,Precinct 25,President and Vice President,,REP,Romney/Ryan,584,387,184,13
Sarpy,Precinct 26,President and Vice President,,REP,Romney/Ryan,809,534,272,3
Sarpy,Precinct 31,President and Vice President,,REP,Romney/Ryan,1326,890,421,15
Sarpy,Precinct 32,President and Vice President,,REP,Romney/Ryan,652,442,204,6
Sarpy,Precinct 33,President and Vice President,,REP,Romney/Ryan,737,476,252,9
Sarpy,Precinct 34,President and Vice President,,REP,Romney/Ryan,724,504,208,12
Sarpy,Precinct 35,President and Vice President,,REP,Romney/Ryan,750,534,212,4
Sarpy,Precinct 36,President and Vice President,,REP,Romney/Ryan,974,620,349,5
Sarpy,Precinct 37,President and Vice President,,REP,Romney/Ryan,1184,744,435,5
Sarpy,Precinct 38,President and Vice President,,REP,Romney/Ryan,866,541,319,6
Sarpy,Precinct 39,President and Vice President,,REP,Romney/Ryan,979,630,344,5
Sarpy,Precinct 40,President and Vice President,,REP,Romney/Ryan,840,536,297,7
Sarpy,Precinct 41,President and Vice President,,REP,Romney/Ryan,1027,619,398,10
Sarpy,Precinct 42,President and Vice President,,REP,Romney/Ryan,884,528,347,9
Sarpy,Precinct 46,President and Vice President,,REP,Romney/Ryan,793,542,250,1
Sarpy,Precinct 47,President and Vice President,,REP,Romney/Ryan,456,367,88,1
Sarpy,Precinct 48,President and Vice President,,REP,Romney/Ryan,1118,651,460,7
Sarpy,Precinct 49,President and Vice President,,REP,Romney/Ryan,1070,670,388,12
Sarpy,Precinct 51,President and Vice President,,REP,Romney/Ryan,1142,770,363,9
Sarpy,Precinct 52,President and Vice President,,REP,Romney/Ryan,1151,751,387,13
Sarpy,Precinct 53,President and Vice President,,REP,Romney/Ryan,964,606,352,6
Sarpy,Precinct 54,President and Vice President,,REP,Romney/Ryan,985,638,341,6
Sarpy,Precinct 55,President and Vice President,,REP,Romney/Ryan,1130,741,381,8
Sarpy,Precinct 56,President and Vice President,,REP,Romney/Ryan,857,638,213,6
Sarpy,Precinct 57,President and Vice President,,REP,Romney/Ryan,665,486,177,2
Sarpy,Precinct 58,President and Vice President,,REP,Romney/Ryan,632,454,171,7
Sarpy,Precinct 59,President and Vice President,,REP,Romney/Ryan,773,566,205,2
Sarpy,Precinct 60,President and Vice President,,REP,Romney/Ryan,693,526,161,6
Sarpy,Precinct 61,President and Vice President,,REP,Romney/Ryan,1381,814,555,12
Sarpy,Precinct 62,President and Vice President,,REP,Romney/Ryan,612,415,191,6
Sarpy,New/Former Resident,President and Vice President,,REP,Romney/Ryan,7,0,7,0
Sarpy,,President and Vice President,,DEM,Obama/Biden,26671,16215,10029,427
Sarpy,Precinct 1,President and Vice President,,DEM,Obama/Biden,490,329,144,17
Sarpy,Precinct 2,President and Vice President,,DEM,Obama/Biden,362,234,117,11
Sarpy,Precinct 3,President and Vice President,,DEM,Obama/Biden,579,348,213,18
Sarpy,Precinct 4,President and Vice President,,DEM,Obama/Biden,483,349,129,5
Sarpy,Precinct 5,President and Vice President,,DEM,Obama/Biden,460,260,192,8
Sarpy,Precinct 6,President and Vice President,,DEM,Obama/Biden,551,329,204,18
Sarpy,Precinct 7,President and Vice President,,DEM,Obama/Biden,492,325,156,11
Sarpy,Precinct 8,President and Vice President,,DEM,Obama/Biden,379,228,139,12
Sarpy,Precinct 9,President and Vice President,,DEM,Obama/Biden,542,367,157,18
Sarpy,Precinct 10,President and Vice President,,DEM,Obama/Biden,393,285,94,14
Sarpy,Precinct 11,President and Vice President,,DEM,Obama/Biden,588,346,229,13
Sarpy,Precinct 12,President and Vice President,,DEM,Obama/Biden,418,279,135,4
Sarpy,Precinct 13,President and Vice President,,DEM,Obama/Biden,634,357,262,15
Sarpy,Precinct 16,President and Vice President,,DEM,Obama/Biden,661,440,214,7
Sarpy,Precinct 17,President and Vice President,,DEM,Obama/Biden,597,378,212,7
Sarpy,Precinct 18,President and Vice President,,DEM,Obama/Biden,509,323,174,12
Sarpy,Precinct 19,President and Vice President,,DEM,Obama/Biden,618,310,303,5
Sarpy,Precinct 20,President and Vice President,,DEM,Obama/Biden,654,371,268,15
